Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
art-against-knives,ART AGAINST KNIVES,"<p>EXCLUSIVE ART AGAINST KNIVES PRINT </p>
<p>Digital fine art print on Hahnemuhle paper</p>
<p>Limited edition print run of 100</p>
<p>37 x 33.6 cm</p>
<p>Postage: £6</p>",Art Against Knives Gallery,Print,"",true,Title,Default Title,,,,,99,1000,,1,deny,manual,35.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/DALI_BORDER.jpg?v=1453384332,,false,,,,,,,,,,,,,,,,,kg
art-against-knives,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Dali_zoomed.jpg?v=1453384342,,,,,,,,,,,,,,,,,,,
skin-1-by-ilka-franz,'Skin 1' by Ilka & Franz,"<p><strong>Framed special edition Hahnemuhle Baryta print, 1189x793mm</strong></p>
<p>Mounted and framed</p>
<p>Please email us if you would like to arrange a viewing, or for shipping info and costs at: <strong>gallery@artagainstknives.com</strong></p>
<p> </p>",Art Against Knives Gallery,"","",true,Title,Default Title,,,,,"",0,,1,deny,manual,1250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/ilkafranz-15.jpg?v=1447951024,,false,,,,,,,,,,,,,,,,,oz
skin-1-by-ilka-franz,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/ilkafranz-skin-1.jpg?v=1447951028,,,,,,,,,,,,,,,,,,,
rubicon-by-elena-gumenuik,'Rubicon' by Elena Gumeniuk,"<p><span>2 Colour Screenprint on Southbank Smooth 310gsm Paper, 50 x 50 cm</span></p>
<p><span>Edition of 36, printed by Jealous Gallery.</span></p>
<p>£75 (+ £8 shipping)</p>",Art Against Knives Gallery,"","colour, jealous, screenprint, summer",true,Title,Default Title,,,,,"",0,shopify,3,deny,manual,83.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/1706.jpg?v=1439552902,,false,,,,,,,,,,,,,,,,,oz
rubicon-by-elena-gumenuik,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/GumeniukO05.jpg?v=1439552935,,,,,,,,,,,,,,,,,,,
rob-flowers-shine-on,'SHINE ON' by ROB FLOWERS,"<meta charset=""utf-8"">
<h3 style=""text-align: center;"">'SHINE ON'</h3>
<h3 style=""text-align: center;"">BY <a href=""http://robflowers.co.uk/"">ROB FLOWERS</a>
</h3>
<h4 style=""text-align: center;""><span>Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,9,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/AAK-01_670.jpg?v=1437997358,,false,,,,,,,,,,,,,,,,,oz
rob-flowers-shine-on,,,,,,,,Framed,,,,,"",0,shopify,9,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11695985_980484465305253_4954315659985327808_n.jpg?v=1437997368,,,,,,,,,,,,,,,,,,,oz
rob-flowers-shine-on,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6648.JPG?v=1438336610,,,,,,,,,,,,,,,,,,,
copy-of-margaux-carpentier-orange-lips-idole,'I CARRY YOUR HEART' by POPPY'S PAPERCUTS,"<h3 style=""text-align: center;""><span style=""color: #444444;"">'I CARRY YOUR HEART'</span></h3>
<h3 style=""text-align: center;""><span style=""color: #444444;"">BY <a href=""http://poppyspapercuts.com/"">POPPY'S PAPERCUTS</a></span></h3>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span style=""color: #444444;"">One colour silkscreen print, created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"" style=""color: #444444;"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span style=""color: #444444;"">SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span style=""color: #444444;"">Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span style=""color: #444444;"">Framed: £250</span></h4>
<h6 style=""text-align: center;""><span style=""color: #444444;"">*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,9,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Poppy_Hi_Res_Art_Against_Knives.jpg?v=1437996983,,false,,,,,,,,,,,,,,,,,oz
copy-of-margaux-carpentier-orange-lips-idole,,,,,,,,Framed,,,,,"",0,shopify,10,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/POPPY.jpg?v=1437996998,,,,,,,,,,,,,,,,,,,oz
copy-of-margaux-carpentier-orange-lips-idole,,,,,,,,1st edition framed,,,,,"",0,shopify,1,deny,manual,350.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6659.JPG?v=1438337038,,,,,,,,,,,,,,,,,,,oz
margaux-carpentier-orange-lips-idole,'ORANGE LIPS IDOLE' by MARGAUX CARPENTIER,"<meta charset=""utf-8"">
<h3 style=""text-align: center;""><span style=""color: #444444;"">'ORANGE LIPS IDOLE'</span></h3>
<h3 style=""text-align: center;""><span style=""color: #444444;"">BY <a href=""http://www.margauxcarpentier.com/"">MARGAUX CARPENTIER</a></span></h3>
<h4 style=""text-align: center;""><span style=""color: #444444;"">Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"" style=""color: #444444;"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span style=""color: #444444;"">SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span style=""color: #444444;"">Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span style=""color: #444444;"">Framed: £250</span></h4>
<h6 style=""text-align: center;""><span style=""color: #444444;"">*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,10,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/margaux.jpg?v=1437996733,,false,,,,,,,,,,,,,,,,,oz
margaux-carpentier-orange-lips-idole,,,,,,,,Framed,,,,,"",0,shopify,9,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11760125_980484461971920_3307569458322645207_n.jpg?v=1437996744,,,,,,,,,,,,,,,,,,,oz
